Event ID,Start,End
1,12/18/2012 22:00,12/19/2012 20:00
2,12/23/2012 2:45,12/28/2012 14:00
3,1/5/2013 21:45,1/9/2013 2:00
4,2/9/2014 23:00,2/12/2014 18:00
5,3/1/2014 2:00,3/6/2014 15:30
6,3/2/2014 18:45,3/8/2014 14:00
7,4/2/2014 15:45,4/5/2014 16:00
8,12/12/2014 23:00,12/14/2014 16:45
9,12/20/2014 14:45,12/22/2014 14:00
10,2/8/2015 3:45,2/12/2015 15:45
11,12/22/2015 23:15,12/23/2015 12:45
12,1/19/2016 0:15,1/21/2016 2:30
13,1/23/2016 14:45,1/25/2016 4:30
14,1/30/2016 12:00,2/2/2016 12:00
15,2/19/2016 4:45,2/19/2016 20:45
16,3/5/2016 13:45,3/17/2016 13:00
17,11/28/2016 19:45,11/29/2016 3:00
18,12/11/2016 1:30,12/21/2016 12:45
19,1/4/2017 19:00,1/12/2017 14:00
20,1/18/2017 18:45,1/24/2017 7:00
21,2/4/2017 7:15,2/11/2017 9:00
22,2/20/2017 14:15,2/22/2017 14:15
23,3/22/2017 15:00,3/23/2017 16:15
24,4/7/2017 4:30,4/9/2017 19:45
25,4/13/2017 19:00,4/15/2017 1:30
26,4/18/2017 15:00,4/20/2017 3:45
